GOterm,term,Pvalue,NoGOsize,cluster,entrez
252,GO:0030324,lung development,1.29e-04,33;169,C_1_GSE62232,23210;93986;64399;5604;10247;9620;6943;3290;4846;7472;2294;6431;383;7481;1544;2260;5764;3397;429;2627;7080;4613;25803;6441;9509;7477;55211;23414;83716;54206;27031;147372;4838
253,GO:0045597,positive regulation of cell differentiation,1.29e-04,113;808,C_1_GSE62232,149685;25819;5743;6777;22849;8876;84913;694;80005;55604;221336;6009;3725;7538;3398;4860;6422;4070;5604;558;9638;10974;6387;3727;1902;8842;6770;3897;5345;1230;101;3569;3556;1638;185;653;2626;4488;7472;2243;1620;4804;5979;8997;1491;7480;1013;9021;3037;4803;114548;4058;9398;2260;5764;151;2353;688;760;3479;816;3082;429;2627;3486;2534;9362;658;1826;5600;367;1052;7074;5789;25803;8153;6929;10215;4916;57795;22999;2778;1406;7477;5587;6783;57817;11141;23566;2658;4825;4915;51393;6423;83643;6860;27177;124936;4131;286410;1272;23363;1600;3400;9037;257194;92304;6899;51666;285016;1002;5597;3356
254,GO:0045595,regulation of cell differentiation,1.30e-04,186;1446,C_1_GSE62232,114771;149685;25819;90102;5743;6777;64081;22849;8876;84913;694;80005;55604;23105;221336;6009;3725;7538;3398;4860;6422;2633;4070;5604;558;2308;5156;6653;9638;10974;6387;360;3727;1902;1910;8842;6770;3897;4092;5345;1230;6348;10090;101;3569;3556;8864;1638;185;653;2626;4488;577;7472;2243;2147;1620;4804;5979;2294;8997;1491;6431;1071;7480;1013;9021;3037;4908;4803;2045;5457;7143;114548;4974;4058;9398;8993;2260;5764;151;3397;2353;688;760;3479;816;3082;429;2627;3486;2534;7498;9362;658;825;7080;4613;1826;5600;367;10611;23111;1052;7074;5789;25803;8153;27124;6929;10215;4916;7021;57795;11221;22999;3662;2778;10297;1406;7477;5587;9547;64284;23493;23414;6783;10716;9464;57817;11141;11173;23566;2658;2895;4825;4915;64093;51393;6423;83643;6860;55363;27177;7099;54206;27031;124936;4131;122953;80031;286410;1272;1840;23363;1600;814;58473;152330;3400;9037;257194;8543;6926;120892;92304;54897;53637;130120;9290;57689;84466;90167;91584;64805;221044;6899;51666;4838;285016;1002;7098;56478;114770;5597;3356
255,GO:0009308,amine metabolic process,1.31e-04,26;121,C_1_GSE62232,169355;2639;26;6817;4129;8942;4929;8564;23498;1543;6999;635;1621;6799;15;6622;1312;18;1757;51166;11185;112483;5686;130013;29958;9971
256,GO:0005996,monosaccharide metabolic process,1.34e-04,43;242,C_1_GSE62232,32;79660;23387;10891;283209;3487;6652;5236;3481;2308;5106;2027;229;2819;3569;8864;4886;10993;5443;2646;3953;5105;2805;3479;2203;1390;3486;27232;2642;1374;9104;3651;10690;7021;5161;51181;23417;114897;84649;5166;55276;388581;26007
257,GO:0006576,cellular biogenic amine metabolic process,1.34e-04,14;47,C_1_GSE62232,169355;2639;8942;8564;23498;6999;635;1621;15;1757;51166;112483;130013;29958
258,GO:0042180,cellular ketone metabolic process,1.41e-04,39;213,C_1_GSE62232,32;5743;6777;169355;10891;1958;10613;8942;6770;6715;2819;3029;8564;653;6999;33;552;344;1555;337;6622;8013;51141;8529;1374;9104;84869;51422;23417;23408;2693;51166;127;116519;84649;5166;219743;5686;9971
259,GO:0048514,blood vessel morphogenesis,1.42e-04,74;485,C_1_GSE62232,23210;5743;694;5547;7057;3725;1634;6422;3164;290;5156;1969;23166;7049;4092;2028;6943;5345;283;101;3569;2626;4846;577;4804;3848;2294;3037;7010;7481;3579;3953;6915;2260;5740;5764;3397;23576;688;1893;306;3082;2627;729;7498;2047;388;7021;6347;5787;7477;5587;23554;23493;23414;55576;9464;51129;2658;4915;6423;83854;8828;84870;9444;116844;9037;147372;60675;113026;6899;51666;4838;168667
260,GO:0046903,secretion,1.43e-04,139;1034,C_1_GSE62232,130399;6571;1579;143425;6777;27165;2572;64788;7057;6513;10765;4860;929;6422;6385;2633;3481;558;5106;6279;379;6387;4129;1036;1910;5217;1080;5345;1230;6348;283;101;3569;3556;8864;185;1675;5617;22915;2243;5443;6283;2294;1393;6861;3598;552;3700;8431;189;114548;774;9173;2917;5020;2260;6622;8013;4887;2740;2912;4544;151;1312;760;1893;306;18;3479;4824;90865;9378;3082;5340;7036;7498;5023;8529;2642;1374;3651;8913;5600;815;7074;8622;1723;6505;5267;23086;7018;5473;7021;6694;5008;27163;213;5322;22999;2778;27445;4644;55240;55664;25837;55512;11141;114897;1133;2693;4825;30814;4160;4915;1191;64285;408;6860;57393;7099;6506;320;111;5099;6926;120892;55366;85413;192683;8676;64805;140679;84106;94122;388581;260434;9971;3356;5170
261,GO:0009081,branched-chain amino acid metabolic process,1.45e-04,9;22,C_1_GSE62232,6777;38;3712;4329;36;2690;594;152926;1629
262,GO:0008206,bile acid metabolic process,1.51e-04,13;42,C_1_GSE62232,51302;30;6770;8309;11001;28234;570;6718;6579;9420;10998;1582;9971
263,GO:0006112,energy reserve metabolic process,1.51e-04,20;83,C_1_GSE62232,79660;5236;3481;178;5507;9945;8864;5502;5443;3953;5260;3479;27232;2642;2998;51422;2778;55022;4160;55276
264,GO:0051962,positive regulation of nervous system development,1.55e-04,66;422,C_1_GSE62232,22849;654429;221336;6009;3398;5604;9638;6387;1902;6770;3897;3569;3556;1638;653;577;7472;1620;4804;5979;8997;22865;4803;4058;5020;2260;5764;151;9378;816;3082;429;2534;9362;2047;1826;375790;7074;5789;8153;6929;10215;4916;57795;22999;1406;5587;11141;23566;4825;4915;347902;51393;6860;124936;4131;57633;1272;23363;1600;9037;257194;84189;285016;1002;5597
265,GO:0007599,hemostasis,1.56e-04,56;343,C_1_GSE62232,5890;55604;2160;5547;7057;558;5156;5577;7056;3047;5345;3569;2626;4846;22915;2243;2147;2161;3848;3818;3045;2815;2158;6915;3441;10332;8858;3444;3449;151;3043;7980;5104;18;5340;2627;2534;5023;8529;5329;388;2778;56034;30845;23414;9630;55576;11093;51266;114897;408;22953;7099;286133;64805;5170
266,GO:0010906,regulation of glucose metabolic process,1.59e-04,22;96,C_1_GSE62232,32;79660;23387;10891;3487;3481;2308;3569;5443;2646;3953;3479;2203;3486;27232;2642;9104;23417;114897;84649;5166;388581
267,GO:0030182,neuron differentiation,1.60e-04,153;1159,C_1_GSE62232,64072;5923;22849;84570;8633;126755;654429;348980;23105;441549;221336;161357;26227;3725;3398;6422;6385;5604;1969;9638;6387;1952;1902;1910;8842;8321;3897;4929;2775;22809;1949;10090;3569;3556;3798;653;10570;577;7472;10178;1620;4804;5979;8997;9355;7480;9211;288;4908;22865;7481;4803;2045;337;5457;7143;4974;4058;2260;8013;5764;151;3397;80303;2823;9378;816;3082;429;2534;5354;9362;658;2047;7080;4613;1826;375790;10611;23111;4684;815;7074;5789;8153;27124;6929;10215;4916;4978;57795;2558;22999;1406;7477;5587;50861;25987;64284;23493;10716;9464;23418;11141;54766;23566;59335;55118;2895;4825;83696;4915;57502;51393;6423;59277;6860;51384;116519;8828;124936;4131;80031;1272;1840;23363;1600;152330;57549;3400;9037;257194;8543;120892;494470;54897;53637;6656;170302;107;84189;57689;4685;219527;90167;51399;91584;4147;10160;285016;1002;56478;5597
268,GO:1903034,regulation of response to wounding,1.63e-04,29;143,C_1_GSE62232,90102;2160;7057;5604;5156;7056;5345;4846;2243;2147;2161;3848;6431;3818;7143;6915;10332;8613;18;5340;825;5329;4916;58189;55576;114897;7099;286133;130120
269,GO:0007188,adenylate cyclase-modulating G-protein coupled receptor signaling pathway,1.64e-04,30;150,C_1_GSE62232,59350;122042;2849;1902;2775;2357;4886;5745;154;5732;2917;6915;4887;2912;26538;151;2642;148;1395;2778;59340;1133;4159;3355;4160;111;153;107;64805;3356
270,GO:0050679,positive regulation of epithelial cell proliferation,1.64e-04,30;150,C_1_GSE62232,93986;3725;10765;6422;3164;6387;7039;283;3569;653;7472;6431;383;3037;7010;9420;8013;5764;3397;1893;3479;6347;5587;2658;8828;116844;9037;130120;6899;4838
271,GO:0042330,taxis,1.65e-04,78;520,C_1_GSE62232,8633;5337;2920;7057;3398;3164;5604;6279;5156;1969;9638;6387;5142;1902;6351;1910;8061;3897;1949;1667;1230;6348;2357;101;3569;3798;185;6358;10570;4804;6283;9355;9211;288;4908;2045;7143;3579;6291;9420;3950;10803;2260;8013;9378;3082;2534;658;6368;2047;2358;7080;1826;5329;4684;7074;4916;5473;6441;6347;5587;9547;10716;51554;59277;79148;8828;80031;3680;152330;9037;146225;494470;170302;60675;91584;4147;1002
272,GO:0006699,bile acid biosynthetic process,1.66e-04,10;27,C_1_GSE62232,51302;6770;8309;11001;570;6718;9420;10998;1582;9971
273,GO:0019441,tryptophan catabolic process to kynurenine,1.75e-04,5;7,C_1_GSE62232,169355;8942;8564;6999;51166
274,GO:0019530,taurine metabolic process,1.75e-04,5;7,C_1_GSE62232,6777;26227;1036;2690;570
275,GO:0009611,response to wounding,1.78e-04,89;612,C_1_GSE62232,90102;5890;55604;2160;5547;7057;3725;7538;1634;6385;5604;558;6279;5156;5577;7056;3047;2027;9620;7033;5345;1230;3569;3484;2626;4488;4846;22915;2243;1543;2147;2161;3848;2294;6431;383;7480;3818;3045;2815;7143;2158;6915;3441;10332;8858;3444;3449;151;3043;7980;5104;18;3479;5340;2627;2534;5023;8529;3651;825;5329;388;4916;7032;6347;2778;56034;30845;10894;58189;23414;9630;55576;54566;11093;51266;114897;408;22953;116519;7099;6506;3680;286133;130120;64805;4147;5170
276,GO:0007186,G-protein coupled receptor signaling pathway,1.79e-04,119;866,C_1_GSE62232,11318;59350;165082;84873;122042;259287;2849;118442;160897;9455;26188;282775;26219;138804;2920;23266;6422;6387;1952;1902;6351;1910;8321;9620;2775;7433;27239;1230;6348;2357;2099;185;6358;4886;577;5443;10178;2147;5745;8786;154;552;6000;1259;6010;5732;3579;2015;2911;10803;6425;2917;6915;6622;81696;9248;4887;2740;2912;4544;26538;151;760;9628;166647;9590;6368;2642;2358;11343;148;1395;375790;9052;57211;815;26033;5473;26648;2558;6347;2778;9427;53829;9630;23615;51554;23566;59340;1154;55507;442194;1133;2693;50837;4159;3355;4160;57406;25818;408;6423;140;202018;111;115330;153;120892;53637;55366;55890;9290;2788;107;60675;283160;64805;23322;3356
277,GO:0009820,alkaloid metabolic process,1.79e-04,7;14,C_1_GSE62232,5743;590;1576;1544;5740;1577;10135
278,GO:0071276,cellular response to cadmium ion,1.79e-04,7;14,C_1_GSE62232,4501;6770;4495;4496;1544;4493;4494
279,GO:0030193,regulation of blood coagulation,1.79e-04,20;84,C_1_GSE62232,2160;7057;5156;7056;5345;4846;2243;2147;2161;3848;3818;6915;10332;18;5340;5329;55576;114897;7099;286133
280,GO:0033273,response to vitamin,1.79e-04,20;84,C_1_GSE62232,5743;7299;847;6422;920;360;8942;4255;590;2626;1543;383;10400;5764;429;3651;249;6347;6569;57817
281,GO:1900046,regulation of hemostasis,1.79e-04,20;84,C_1_GSE62232,2160;7057;5156;7056;5345;4846;2243;2147;2161;3848;3818;6915;10332;18;5340;5329;55576;114897;7099;286133
282,GO:0042445,hormone metabolic process,1.82e-04,33;172,C_1_GSE62232,6777;10891;1958;5947;4311;6817;6770;6715;2028;2099;653;8630;5443;1393;1576;1592;4803;6716;6718;15;1312;7276;8228;5959;80765;51171;6783;64577;9227;127;84649;389434;83875
283,GO:0022008,neurogenesis,1.83e-04,176;1366,C_1_GSE62232,64072;5923;22849;84570;8633;64399;126755;654429;348980;23105;441549;221336;161357;26227;6009;3725;3398;6422;6385;5604;558;6279;1969;6653;9638;6387;1952;1902;1910;8842;4501;8321;9620;6770;3897;4929;2775;2009;22809;1949;6348;10090;3569;3556;8864;3798;1638;653;590;10570;577;7472;10178;2147;1620;4804;5979;8997;9355;7480;9211;288;4908;22865;7481;4803;2045;337;5457;7143;4974;4058;2260;8013;5764;151;3397;80303;8613;2823;90865;9378;816;3082;429;2534;5354;9362;658;2047;7080;4613;1826;375790;10611;23111;4684;815;7074;460;5789;8153;27124;6929;10215;4916;4978;57795;11221;2558;22999;6347;1406;7477;5587;50861;25987;64284;23493;10716;9464;23418;11141;54766;23566;59335;55118;2895;4825;83696;4915;57502;1191;51393;6423;59277;6860;51384;116519;7099;8828;124936;4131;80031;1272;1840;23363;1600;152330;57549;3400;9037;257194;8543;120892;494470;54897;53637;3736;6656;170302;107;84189;57689;4685;219527;90167;51399;91584;64805;4147;10160;285016;1002;56478;5597
284,GO:0019748,secondary metabolic process,1.86e-04,15;54,C_1_GSE62232,1548;7299;1652;6770;8564;1638;1543;1544;1553;84869;5446;4644;56898;51151;2327
285,GO:0060191,regulation of lipase activity,1.88e-04,19;78,C_1_GSE62232,64788;5156;1902;283;2099;185;552;344;337;2260;6622;148;51099;5322;51129;116519;9290;3356;5170
286,GO:0010975,regulation of neuron projection development,1.91e-04,62;393,C_1_GSE62232,22849;23105;6422;5604;9638;6387;1902;3897;10090;3569;3556;653;577;4804;5979;8997;4803;2045;7143;4974;4058;2260;5764;3397;816;3082;2534;9362;1826;10611;23111;7074;5789;8153;27124;4916;22999;5587;64284;10716;11141;23566;2895;4825;4915;51393;6423;6860;4131;80031;1272;23363;1600;9037;257194;120892;57689;90167;91584;285016;1002;5597
287,GO:0034308,primary alcohol metabolic process,1.96e-04,13;43,C_1_GSE62232,221;217;222;126;130;124;125;7276;8228;5959;9227;127;84649
288,GO:0048638,regulation of developmental growth,1.96e-04,48;284,C_1_GSE62232,32;6777;23105;6422;10409;6387;3897;7049;4886;5617;2690;2395;7472;154;2045;7143;4593;2260;3479;2627;9362;825;1826;5600;367;375790;23111;8153;4916;22999;51316;23493;23414;57817;23566;2693;4825;51393;6423;6860;4131;80031;153;9037;170302;91584;80014;1002
289,GO:0061041,regulation of wound healing,1.99e-04,26;124,C_1_GSE62232,90102;2160;7057;5156;7056;5345;4846;2243;2147;2161;3848;6431;3818;6915;10332;8613;18;5340;825;5329;58189;55576;114897;7099;286133;130120
290,GO:0019233,sensory perception of pain,2.00e-04,21;91,C_1_GSE62232,5743;4311;1910;6348;4886;2911;5020;4887;6336;1312;2534;2047;11343;54463;59335;59344;11280;1740;3736;60675;3356
291,GO:0071417,cellular response to organonitrogen compound,2.01e-04,70;458,C_1_GSE62232,245973;5743;6777;22849;6546;348980;10891;1979;1958;6422;3164;3481;2308;8835;26;5577;5142;5138;6770;4929;6715;2819;1080;3569;3484;185;5617;2690;4804;1393;383;7480;9021;6517;445;339;15;6622;8013;5105;2740;2805;3397;688;760;2534;2642;1395;815;6347;4644;6569;56034;55022;1154;2693;4825;4915;54206;5166;111;23514;120892;2788;107;64805;3753;388581;9971;5170
292,GO:0030323,respiratory tube development,2.04e-04,33;173,C_1_GSE62232,23210;93986;64399;5604;10247;9620;6943;3290;4846;7472;2294;6431;383;7481;1544;2260;5764;3397;429;2627;7080;4613;25803;6441;9509;7477;55211;23414;83716;54206;27031;147372;4838
293,GO:0007416,synapse assembly,2.04e-04,27;131,C_1_GSE62232,654429;8321;3556;577;22865;2045;5457;5020;4593;2823;9378;2047;1826;375790;10611;5789;4916;27445;64284;11141;2693;4915;57502;347902;57633;84189;10160
294,GO:0007399,nervous system development,2.11e-04,251;2049,C_1_GSE62232,64072;84879;246213;55816;5923;22849;84570;8633;93986;4340;64399;6546;1821;126755;654429;8876;84913;38;348980;23105;89797;441549;221336;10891;161357;26227;6009;3725;3398;6422;6385;4522;10409;5604;558;6279;1969;6653;9638;6387;10247;1952;1902;4129;1910;8842;4501;8321;9620;6770;3897;4929;6715;2775;2009;22809;1949;6348;10090;1463;3569;3556;8864;3798;1638;653;590;10570;577;7472;2674;10178;2147;1620;4804;5979;3777;8997;9355;7480;552;1995;9211;288;57447;6595;4908;22865;7481;4803;2045;337;6716;5457;7143;3579;4974;4058;11281;5020;4593;5992;2260;23544;8013;1827;5764;151;3397;2353;80303;8613;306;18;2823;90865;9378;816;3082;429;2534;5354;9362;658;2047;3651;2334;7080;8820;4613;1826;6457;375790;10611;23111;4684;6526;57211;815;7074;460;5789;8153;27124;5813;6929;10215;4916;10690;4978;7021;5008;57795;11221;2558;1739;22999;6347;27445;4644;1406;7477;5587;50861;25987;56034;64284;2055;5101;23493;10716;9464;23418;11141;54766;23566;59335;55118;2693;2895;4825;8822;83696;4915;57502;1191;347902;51393;6423;59277;6860;51384;116519;7099;6506;8828;27031;124936;4131;80031;57633;1272;1840;23363;320;1600;9444;1740;152330;57549;3400;9037;257194;8543;6926;120892;5067;494470;54897;53637;3736;6656;170302;107;84189;57689;4685;287;219527;54768;90167;51399;91584;404037;4336;64805;84530;8110;57545;6899;4147;10160;4838;285016;79064;1002;140679;23322;56478;5597;63827
295,GO:0055076,transition metal ion homeostasis,2.12e-04,24;111,C_1_GSE62232,283375;1356;6279;4501;2395;9429;3263;7036;2038;23516;4502;7018;56898;94081;55240;79689;57817;2658;51312;286133;113235;1317;48;7037
296,GO:0090257,regulation of muscle system process,2.17e-04,35;188,C_1_GSE62232,29119;5743;6546;80005;388591;10891;5142;1756;4092;2626;4846;7140;154;6915;5020;8013;4607;4887;151;6336;18;3479;816;5023;148;30845;844;9464;57817;2693;54206;3736;287;60675;84676
297,GO:0046686,response to cadmium ion,2.18e-04,12;38,C_1_GSE62232,847;6652;4501;6770;4495;23498;383;4496;1544;4493;4494;6569
298,GO:0042742,defense response to bacterium,2.19e-04,38;210,C_1_GSE62232,245909;245938;114771;2220;6279;1969;920;23166;1667;283;3569;671;2243;5650;6283;5199;6406;944;4153;8993;11126;306;3507;5473;6441;3493;51316;55576;57817;25818;7099;3500;245936;130120;117285;7098;114770;9971
299,GO:0003206,cardiac chamber morphogenesis,2.21e-04,25;118,C_1_GSE62232,3398;6256;8321;7049;4092;653;2626;4488;7472;2294;7010;7481;5457;4607;4887;10370;4091;2627;23493;23414;9464;9510;6423;6926;6899
300,GO:0032103,positive regulation of response to external stimulus,2.23e-04,44;255,C_1_GSE62232,5743;6777;2920;7057;6279;6387;7056;2167;1902;6351;5138;5345;1230;6348;101;3569;185;6358;2147;2161;5650;6283;3818;4908;3579;9173;2260;90865;5340;6368;1826;7074;4916;5473;5008;6347;5587;9547;59067;2693;25818;7099;9037;7098
301,GO:0046320,regulation of fatty acid oxidation,2.35e-04,10;28,C_1_GSE62232,32;10891;33;8013;1374;51422;23417;84649;5166;219743
302,GO:0006935,chemotaxis,2.57e-04,77;519,C_1_GSE62232,8633;5337;2920;7057;3164;5604;6279;5156;1969;9638;6387;5142;1902;6351;1910;8061;3897;1949;1667;1230;6348;2357;101;3569;3798;185;6358;10570;4804;6283;9355;9211;288;4908;2045;7143;3579;6291;9420;3950;10803;2260;8013;9378;3082;2534;658;6368;2047;2358;7080;1826;5329;4684;7074;4916;5473;6441;6347;5587;9547;10716;51554;59277;79148;8828;80031;3680;152330;9037;146225;494470;170302;60675;91584;4147;1002
303,GO:0006733,oxidoreduction coenzyme metabolic process,2.65e-04,27;133,C_1_GSE62232,130752;10891;9611;4860;5236;5106;8942;2027;229;2819;8564;23498;863;3479;2203;51422;10135;51181;51660;54981;55753;55276;55526;2327;130013;554235;3356
304,GO:1901652,response to peptide,2.69e-04,65;422,C_1_GSE62232,130399;245973;6777;694;1979;847;1958;3164;3481;2308;8835;6387;5577;3727;1036;6770;4929;6715;3569;3484;185;5617;2690;4804;1393;6431;383;552;9021;6517;7010;6716;445;339;15;5020;8013;5105;2740;2805;3397;5860;688;760;51141;2534;2642;1395;815;6347;4644;6569;55022;1154;2693;4825;4160;54206;5166;111;2788;107;388581;9971;5170
305,GO:0019359,nicotinamide nucleotide biosynthetic process,2.70e-04,8;19,C_1_GSE62232,4860;8942;8564;23498;10135;54981;130013;554235
306,GO:0019363,pyridine nucleotide biosynthetic process,2.70e-04,8;19,C_1_GSE62232,4860;8942;8564;23498;10135;54981;130013;554235
307,GO:0051412,response to corticosterone,2.70e-04,8;19,C_1_GSE62232,2354;4129;8061;6770;552;15;2353;4916
308,GO:0032879,regulation of localization,2.76e-04,282;2344,C_1_GSE62232,23704;130399;32;170850;135644;2849;29119;7439;9711;3788;90102;1579;5923;5743;132141;143425;64081;8633;6546;729993;84913;89978;80005;348980;55604;27165;138804;388591;10891;2920;5547;30818;9611;7057;6513;3725;7538;2273;10765;929;1634;10449;6422;6385;2633;4070;5652;5604;558;5106;5187;6279;5156;1969;6653;920;6387;5142;4680;1756;1902;4129;6351;5138;1910;482;8321;7049;2775;4092;8379;1263;5217;1080;1230;6348;283;101;3569;3556;8864;51308;185;5348;653;1602;2626;4846;2243;5443;10178;2147;4804;5979;2294;1393;8997;4163;6861;154;3598;383;1071;552;5444;288;8431;3037;6406;8809;7010;4908;7481;344;2646;337;3579;114548;3768;4796;774;4153;10786;6425;9173;2917;5020;10400;2260;6622;8013;4607;778;4887;2740;5764;4544;151;6336;1312;760;8613;10370;1893;306;18;3479;4824;90865;9378;816;3082;3486;20;2534;3769;7036;5023;8529;1374;9104;4928;3651;825;7080;3755;8913;1826;5600;367;388;815;7074;8622;3752;23086;51099;4916;7018;5473;4927;6441;7021;5008;1759;51422;1739;8434;22999;6347;2778;27445;10297;4644;6569;5587;9547;114885;56892;56034;29763;64284;30845;55022;9388;25837;3773;8645;844;55512;79026;10716;3781;54566;9227;57817;11141;23566;114897;2658;2693;4825;3355;57406;3778;55357;64285;51393;408;6423;6860;55600;57393;11280;89822;22953;79148;116519;7099;80333;6506;8828;4131;80031;1272;54102;128414;111;23514;154810;9037;8543;161247;120892;147372;9481;55366;3736;54207;135656;85443;287;56154;3760;104;192683;91584;50859;64805;3753;4838;3772;7098;5314;84106;168667;94122;388581;260434;9971;3356;5170
309,GO:0071804,cellular potassium ion transport,2.83e-04,33;176,C_1_GSE62232,23704;170850;3788;348980;480;388591;30818;2273;482;3777;3780;288;1259;3768;10060;3769;3755;3752;3773;8645;3781;3778;89822;51305;80333;285195;3736;54207;287;3760;64805;3753;3772
310,GO:0071805,potassium ion transmembrane transport,2.83e-04,33;176,C_1_GSE62232,23704;170850;3788;348980;480;388591;30818;2273;482;3777;3780;288;1259;3768;10060;3769;3755;3752;3773;8645;3781;3778;89822;51305;80333;285195;3736;54207;287;3760;64805;3753;3772
311,GO:0006022,aminoglycan metabolic process,2.90e-04,32;169,C_1_GSE62232,114771;93010;633;1634;6385;5549;10090;1463;3700;3037;56548;8993;23169;3082;3697;10402;375790;29940;1486;10894;27087;9955;55576;9348;9953;133584;11227;92126;50859;3423;114770;63827
312,GO:0010675,regulation of cellular carbohydrate metabolic process,2.91e-04,25;120,C_1_GSE62232,32;79660;23387;10891;3487;3481;2308;3569;5443;5745;2646;3953;6622;863;3479;2203;3486;27232;2642;9104;23417;114897;84649;5166;388581
313,GO:0030203,glycosaminoglycan metabolic process,2.95e-04,31;162,C_1_GSE62232,114771;93010;633;1634;6385;5549;10090;1463;3700;3037;56548;8993;23169;3082;3697;10402;375790;29940;10894;27087;9955;55576;9348;9953;133584;11227;92126;50859;3423;114770;63827
314,GO:0006767,water-soluble vitamin metabolic process,2.97e-04,20;87,C_1_GSE62232,32;441024;5743;8876;6513;4522;6515;4594;316;6947;1504;5740;6470;9104;2194;10135;80704;29968;113235;166785
315,GO:0051049,regulation of transport,3.01e-04,211;1695,C_1_GSE62232,23704;130399;170850;2849;7439;9711;3788;1579;5923;5743;143425;64081;6546;729993;89978;348980;27165;138804;388591;10891;30818;9611;7057;6513;2273;10765;929;10449;6422;6385;2633;5652;5604;558;5106;5187;6279;6653;920;6387;5142;1756;4129;6351;5138;1910;482;8321;2775;1263;5217;1080;1230;6348;283;101;3569;3556;8864;51308;185;5348;4846;2243;5443;10178;2147;4804;2294;1393;6861;154;3598;383;1071;552;5444;288;8431;6406;8809;4908;344;2646;337;114548;3768;4796;774;4153;10786;6425;9173;2917;5020;10400;2260;6622;8013;4607;778;4887;2740;4544;151;6336;1312;760;18;3479;4824;90865;9378;816;20;3769;7036;5023;8529;1374;9104;4928;3651;825;3755;8913;5600;815;7074;8622;3752;23086;7018;4927;6441;7021;5008;1759;51422;1739;22999;6347;2778;27445;10297;4644;6569;5587;56892;29763;64284;30845;55022;9388;25837;3773;8645;844;55512;79026;3781;9227;57817;11141;23566;114897;2693;4825;3778;55357;64285;51393;408;6423;6860;55600;57393;11280;89822;22953;116519;7099;80333;6506;4131;1272;54102;128414;111;9037;120892;9481;55366;3736;54207;135656;287;3760;192683;64805;3753;4838;3772;7098;84106;94122;388581;260434;9971;3356;5170
316,GO:0009070,serine family amino acid biosynthetic process,3.07e-04,7;15,C_1_GSE62232,875;26227;4522;1491;189;6470;29968
317,GO:0043650,dicarboxylic acid biosynthetic process,3.07e-04,7;15,C_1_GSE62232,137362;27165;8942;8564;23498;2805;130013
318,GO:0050651,dermatan sulfate proteoglycan biosynthetic process,3.07e-04,7;15,C_1_GSE62232,633;1634;10090;1463;29940;92126;63827
319,GO:0001659,temperature homeostasis,3.13e-04,11;34,C_1_GSE62232,5743;10891;2308;1910;33;154;1621;18;4159;153;3356
320,GO:0042304,regulation of fatty acid biosynthetic process,3.13e-04,11;34,C_1_GSE62232,5743;10613;33;552;344;337;51141;9104;51422;116519;5166
321,GO:0071549,cellular response to dexamethasone stimulus,3.16e-04,9;24,C_1_GSE62232,2308;6770;6715;3569;383;445;6347;54206;842
322,GO:0043270,positive regulation of ion transport,3.18e-04,36;199,C_1_GSE62232,1579;388591;2273;5652;920;6387;1756;6351;482;1080;1230;6348;5348;2147;552;288;5020;6622;18;5023;8529;9104;825;815;1739;6347;6569;30845;23566;51393;22953;1272;287;64805;3753;5170
323,GO:0050878,regulation of body fluid levels,3.29e-04,72;482,C_1_GSE62232,1579;6777;5890;55604;2160;5547;7057;558;5156;5577;360;7056;1036;1910;3047;5345;3569;5617;2626;4846;22915;2243;2147;2161;3848;3037;66002;3818;3045;2815;2158;6915;5020;3441;10332;8858;3444;3449;151;3043;7980;5104;18;5340;2627;2534;7498;5023;8529;5329;388;1723;7021;2778;56034;30845;23414;9630;55576;11093;51266;114897;59344;408;22953;7099;361;111;286133;107;64805;5170
324,GO:0051963,regulation of synapse assembly,3.34e-04,18;75,C_1_GSE62232,654429;3556;577;22865;2045;5020;4593;9378;2047;375790;10611;4916;64284;2693;4915;347902;57633;84189
325,GO:0050767,regulation of neurogenesis,3.40e-04,92;649,C_1_GSE62232,22849;23105;221336;6009;3398;6422;5604;6653;9638;6387;1902;1910;6770;3897;10090;3569;3556;8864;1638;653;577;7472;2147;1620;4804;5979;8997;4908;4803;2045;5457;7143;4974;4058;2260;5764;151;3397;816;3082;429;2534;9362;4613;1826;10611;23111;7074;5789;8153;27124;6929;10215;4916;57795;11221;22999;1406;5587;64284;23493;10716;11141;23566;2895;4825;4915;51393;6423;6860;124936;4131;80031;1272;1840;23363;1600;152330;3400;9037;257194;120892;54897;53637;57689;90167;91584;64805;285016;1002;56478;5597
326,GO:0007623,circadian rhythm,3.41e-04,34;185,C_1_GSE62232,25819;10891;9611;8553;3725;3398;5187;687;4783;3727;6770;6715;22809;3569;8864;4804;9099;15;4887;4544;3397;1390;1374;7080;4916;1406;10135;4159;4915;8945;3400;55366;107;60675
327,GO:0048812,neuron projection morphogenesis,3.46e-04,77;524,C_1_GSE62232,84570;8633;126755;654429;23105;5604;9638;6387;1952;3897;4929;1949;10090;3798;10570;577;4804;5979;8997;9355;9211;288;4908;22865;4803;2045;5457;7143;4974;8013;3397;2823;9378;816;2534;9362;658;2047;7080;1826;10611;23111;4684;815;7074;5789;8153;4916;22999;7477;25987;10716;11141;23566;4825;4915;51393;59277;6860;8828;4131;80031;23363;1600;152330;9037;120892;494470;170302;107;84189;57689;219527;91584;4147;10160;1002
